NFE,Elapsed Time,GenerationalDistance,Hypervolume,ITE,InvertedGenerationalDistance
100.0,0.004464260399999999,0.19219616465712655,0.0,1.0,0.46502534345695545
300.0,0.0062980282,0.1690909035346238,0.002959861646391071,2.0,0.4303675164517443
500.0,0.007916432000000001,0.1454146800684228,0.00600866512481787,3.0,0.33651660284755147
700.0,0.009425996800000001,0.10640809038746238,0.01791670832084737,4.0,0.26196410518889723
900.0,0.0106054324,0.07876034213927033,0.03397856931844095,5.0,0.20572678675959377
1100.0,0.0117743218,0.056180206968698396,0.052413223173490966,6.0,0.1698132019845749
1300.0,0.0129281575,0.0407965741991113,0.07178202614981048,7.0,0.13913978640182906
1500.0,0.014030759899999998,0.032450454976260416,0.09893049538386384,8.0,0.10375028363326042
1700.0,0.015091330299999997,0.01869366786782347,0.1143978714926824,9.0,0.0825255232474246
1900.0,0.016226095500000003,0.013935270479182912,0.13132397535430282,10.0,0.06705614297741588
2100.0,0.0174317616,0.01053309212541787,0.14376493609994428,11.0,0.05523749226576824
2300.0,0.018746794000000004,0.007804811413111951,0.1545973253442104,12.0,0.04520433400821533
2500.0,0.0200667322,0.00574619977002221,0.16458666409698927,13.0,0.03689208248322512
2700.0,0.021420594799999998,0.00412423574541149,0.17210109618931105,14.0,0.03144270390030076
2900.0,0.0228438466,0.00328600007534091,0.17861602995704046,15.0,0.02666312568329149
3100.0,0.0243836318,0.0025659018719594398,0.18448708564939106,16.0,0.022482807331728482
3300.0,0.026881255599999997,0.0020517066217856797,0.18915966735444306,17.0,0.01844768790384243
3500.0,0.0286351288,0.00177617677008463,0.19321077602765377,18.0,0.01542194868283655
3700.0,0.030337215,0.0015661701594839896,0.1953739572500521,19.0,0.014034787184009712
3900.0,0.032081783999999995,0.00143541415254659,0.19792121252877098,20.0,0.012120377744499582
4100.0,0.033914129800000005,0.0013211546047282243,0.19983407581541884,21.0,0.010831271782271872
4300.0,0.03587808,0.00128344995295312,0.2013153926403878,22.0,0.00992385238384862
4500.0,0.03797270330000001,0.0012252398572057874,0.20242652926061688,23.0,0.009129599301324301
4700.0,0.040089042799999995,0.00117635729409588,0.20342178657732513,24.0,0.00839502597097007
4900.0,0.0422286013,0.0011554307701331266,0.20427771076673246,25.0,0.007830781256572692
5100.0,0.04448530800000001,0.001176495213616344,0.20506776384726383,26.0,0.007297078653035649
5300.0,0.0468376251,0.001167702024127072,0.20552249874722764,27.0,0.00702775301566191
5500.0,0.049251698499999996,0.0011375907837542477,0.20602698427456603,28.0,0.006697700657127731
5700.0,0.05163545799999999,0.0011306344796764302,0.20638049480495227,29.0,0.006457332021014039
5900.0,0.0540268198,0.001140745736112783,0.20675085067230423,30.0,0.006226023836302859
6100.0,0.056393874,0.001158822239154545,0.20702843633233417,31.0,0.006116634003974721
6300.0,0.058831418299999994,0.0011724418227957742,0.20733773532377028,32.0,0.005916513197049581
6500.0,0.06127808889999999,0.0011565252235793866,0.20756912889833407,33.0,0.00581071232952668
6700.0,0.0638326073,0.0011641883730917574,0.2077452196039323,34.0,0.005706008425533831
6900.0,0.0663928825,0.00115946074843427,0.20797359638833252,35.0,0.0055118523681208205
7100.0,0.06895825729999999,0.0011752712493829898,0.20813155258926863,36.0,0.005427329581247751
7300.0,0.07155434959999998,0.00118016777408088,0.2082955706296342,37.0,0.00531947686614321
7500.0,0.0741661147,0.00118954851226395,0.20841616977393457,38.0,0.00525696250994587
7700.0,0.0767250337,0.00118683590401721,0.208538855216193,39.0,0.0051585499974004904
7900.0,0.07932199650000002,0.00117622230971766,0.2086411557576,40.0,0.00510663833420162
8100.0,0.081842349,0.0011699943040580298,0.20874147226419612,41.0,0.005048450123350241
8300.0,0.0843439544,0.0011793365940845602,0.20884856899379786,42.0,0.00498991319972278
8500.0,0.08700501860000001,0.0011705344217487399,0.20891165109539084,43.0,0.004955194366818879
8700.0,0.0896625126,0.0011808408117669601,0.20901204374506807,44.0,0.00489823470793413
8900.0,0.0922800159,0.00117882844675824,0.20912279994398517,45.0,0.004838977125283331
9100.0,0.0948616556,0.00117678662513123,0.20918076067823188,46.0,0.004812531210203679
9300.0,0.09743749619999999,0.0011760542269363301,0.20925048520119324,47.0,0.00477107758196056
9500.0,0.1000005952,0.00117911451893051,0.20931314102762086,48.0,0.004735412109331771
9700.0,0.1024850831,0.00117489594995004,0.2093571602050245,49.0,0.00472745964947762
9900.0,0.10506059860000001,0.00117589478586706,0.20940499236209914,50.0,0.00468099393342457
10100.0,0.1076197637,0.00117211475291899,0.20943891343487206,51.0,0.00465120309863195
